player;team;league;AVR;ATbase;ATbats;HIT;HR;RBI;walk;K;salary;salary_log;Cluster
1;1;1;0.324;685;596;193;29;89;74;95;80;4.38202663467388;1
2;1;1;0.305;637;580;177;10;69;43;62;85;4.44265125649032;1
3;1;1;0.316;597;547;173;23;90;48;103;60;4.0943445622221;2
4;1;1;0.31;464;422;131;17;79;36;54;64;4.15888308335967;2
5;1;1;0.301;446;366;110;31;69;75;95;297;5.6937321388027;3
6;1;1;0.298;365;325;97;5;41;26;51;40;3.68887945411394;2
7;1;1;0.276;326;301;83;2;31;15;39;34;3.52636052461616;4
8;1;1;0.21;292;252;53;2;20;18;45;24;3.17805383034795;4
9;1;1;0.306;244;222;68;4;29;14;29;32;3.46573590279973;4
10;1;1;0.25;207;192;48;2;21;9;31;60;4.0943445622221;4
11;1;1;0.275;168;149;41;2;12;16;25;16;2.77258872223978;4
12;2;1;0.279;616;545;152;16;61;55;88;220;5.39362754635236;2
13;2;1;0.256;575;519;133;21;68;39;83;300;5.7037824746562;2
14;2;1;0.297;523;472;140;13;62;42;75;200;5.29831736654804;2
15;2;1;0.248;526;459;114;19;57;58;77;510;6.23441072571837;2
16;2;1;0.252;484;429;108;6;32;29;51;95;4.55387689160054;2
17;2;1;0.243;407;375;91;22;57;20;66;150;5.01063529409626;2
18;2;1;0.256;402;351;90;4;35;32;78;28;3.3322045101752;2
19;2;1;0.319;325;295;94;15;50;25;44;60;4.0943445622221;2
20;2;1;0.296;268;240;71;8;26;19;30;60;4.0943445622221;2
21;2;1;0.256;187;164;42;3;16;18;24;55;4.00733318523247;4
22;3;1;0.325;654;579;188;11;58;24;79;85;4.44265125649032;1
23;3;1;0.31;644;536;166;19;67;100;95;90;4.49980967033027;1
24;3;1;0.26;505;454;118;37;104;41;169;107;4.67282883446191;3
25;3;1;0.269;416;353;95;8;41;39;57;95;4.55387689160054;2
26;3;1;0.292;333;295;86;9;34;24;68;22;3.09104245335832;2
27;3;1;0.257;335;288;74;11;40;41;85;103;4.63472898822964;2
28;3;1;0.246;330;284;70;8;28;32;87;20;2.99573227355399;2
29;3;1;0.336;264;238;80;14;49;23;58;297;5.6937321388027;2
30;3;1;0.261;253;238;62;1;13;4;57;41;3.71357206670431;4
31;3;1;0.318;250;233;74;7;34;14;29;23;3.13549421592915;2
32;3;1;0.192;223;193;37;4;19;21;43;100;4.60517018598809;4
33;3;1;0.307;200;179;55;10;30;16;28;19;2.94443897916644;2
34;3;1;0.317;182;161;51;3;30;12;15;24;3.17805383034795;4
35;4;1;0.313;644;550;172;8;73;87;80;400;5.99146454710798;1
36;4;1;0.283;616;537;152;26;109;67;166;238;5.47227067367148;3
37;4;1;0.338;591;532;180;14;84;46;64;463;6.13772705408623;1
38;4;1;0.276;600;515;142;7;38;70;97;40;3.68887945411394;3
39;4;1;0.264;481;398;105;1;24;28;52;65;4.17438726989564;2
40;4;1;0.259;362;332;86;4;24;18;48;36;3.58351893845611;4
41;4;1;0.253;367;312;79;9;34;47;48;150;5.01063529409626;2
42;4;1;0.197;265;249;49;7;21;10;78;18;2.89037175789616;2
43;4;1;0.244;194;176;43;3;31;15;33;20;2.99573227355399;4
44;4;1;0.295;196;173;51;7;34;17;48;30;3.40119738166216;4
45;4;1;0.221;163;154;34;0;12;3;30;38;3.63758615972639;4
46;5;1;0.318;642;585;186;2;28;43;56;74;4.30406509320417;1
47;5;1;0.288;588;507;146;13;86;69;66;170;5.13579843705026;1
48;5;1;0.317;527;467;148;17;73;51;98;238;5.47227067367148;2
49;5;1;0.277;488;429;119;11;65;54;65;47;3.85014760171006;2
50;5;1;0.268;471;395;106;1;21;39;63;110;4.70048036579242;2
51;5;1;0.281;356;302;85;16;65;45;38;200;5.29831736654804;2
52;5;1;0.262;304;279;73;5;32;19;58;30;3.40119738166216;4
